Tai yra tiesa.	That's true.
Strutis turi sparnus, bet jis negali skristi.	The ostrich has wings, but it cannot fly.
Suvalgėme pietus vidurdienį.	We had lunch at noon.
Tai galėtų kuo puikiausiai tikti apšilimui.	It could be just right for a warm up.
Tais laikais nebuvo radijų.	In those days, there were no radios.
Tai yra pirmas kartas, kai aš rėkiu dalyvaujant vadovui. Aš mačiau didelį tarakoną ant stalo!	It's the first time I scream in presence of the manager. I saw a big cockroach on the table!
Tai yra ponia Li, Siuzanos motina, Londone.	It is Mrs. Lee, Susan's mother, in London.
Tie katinai visada miega ant kilimo.	Those cats always sleep on the carpet.
Tiesiog atsakyk į klausymą.	Just answer the question.
Tkiuosi grįžti kitą pirmadienį.	I expect to be back next Monday.
Tomas nutapė Mėrės šunį.	Tom painted a picture of Mary's dog.
Tomas pastebėjo, kad jo rankos buvo nešvarios.	Tom noticed that his hands weren't clean.
Tomas prarado interesą mokytis prancūzų kalbos.	Tom has lost interest in studying French.
Tomas protestavo prieš tai, kad su juo buvo elgiamasi kaip su vaiku.	Tom objected to being treated like a child.
Tomas taip ir nesugebėjo pamiršti karo baisybių.	Tom could never forget the horror of the war.
Turiu tik mažą daržą.	I have only a small garden.
Užsakiau dailininkui nutapyti savo portretą.	I had the artist paint my portrait.
Valstietis nuima derlių.	The peasant reaps the harvest.
Vietoj rašalo, butelije buvo kažkoks keistas skystis.	Instead of ink there was some kind of strange fluid in the bottle.
Visi, kurie griebiasi kalavijo, nuo kalavijo ir žus.	All those who take up the sword shall perish by the sword.
Visi žmonės gimsta laisvi ir lygūs savo orumu ir teisėmis. Jiems suteiktas protas ir sąžinė ir jie turi elgtis vienas kito atžvilgiu kaip broliai.	All human beings are born free and equal in dignity and rights. They are endowed with reason and conscience and should act towards one another in a spirit of brotherhood.
Vynas yra daromas iš vynuogių.	Wine is made from grapes.
Amžina tyla šių begalinių erdvių mane baugina.	The eternal silence of these infinite spaces terrifies me.
Apelsinai šiame maiše yra supuvę.	The oranges in this bag are rotten.
Apsiauk batus. Eikime pietauti.	Put on your shoes. Let's go out for dinner.
Ar nusiprausei po dušu?	Have you showered?
Aš išspausdinau šimtą puslapių.	I have printed 100 pages.
Aš jau užmokėjau už pirmą pamoką.	I've already paid for the first lesson.
Aš manau, kad daugumai žmonių mokytis trigonometrines funkcijas yra beprasmiška.	I think that for many people learning the trigonometric functions is meaningless.
Aš mėgstu arbūzo skonį.	I love the taste of watermelon.
Aš mėgstu bananus.	I love bananas.
Aš ne vienintelė, mėgstanti Tomą.	I'm not the only one who likes Tom.
Aš pagaliau ją įkalbinau paskolinti man tą knygą.	I finally talked her into lending me the book.
Aš pagalvojau kad ji neturėjo priežasties padayti tą ką ji padarė.	She had, I thought, no reason to do what she did.
Aš plaukiojau upėje.	I was swimming in the river.
Aš pritariau šiam pasiūlymui.	I agreed to the proposal.
Aš šnekėjausi su draugais.	I talked to friends.
Aš turiu daug draugų kurie kalba esperantiškai.	I have many Esperanto-speaking friends.
Aš turių surasti tobulą vietą.	I have to find the perfect place.
Atsisveikinimai visada būna liūdni.	Goodbyes are always sad.
Atvykau į Tokiją perpiet.	I arrived in Tokyo at noon.
Auksas visko nenupirks.	Gold will not buy everything.
Avilyje gali būti tik viena karalienė	There can be only one queen in the hive.
Baltus kilimus sunku išlaikyti švarius.	White carpets are very hard to keep clean.
Banginis yra žinduolis.	A whale is a mammal.
Blondinė kalba su savo psichiatru.	A blonde is speaking to her psychiatrist.
Džordžas palydėjo mane namo.	George accompanied me home.
Esu pavargęs nuo ilgo vaikščiojimo.	I am tired from a long walk.
Florencija yra pats gražiausias miestas Italijoje.	Florence is the most beautiful city in Italy.
Gailiuosi nepaklausiusi jo patarimo.	I regret not having taken his advice.
Iki šiol, niekas niekada nėra matęs marsiečio.	Until now, no one has ever seen a Martian.
Į mokyklą paprastai einu pėsčia.	I usually walk to school.
Indija buvo pavaldi Britanijos imperijai.	India was subject to the British Empire.
Įsigykime Kalėdų eglutę.	Let's go get a Christmas tree.
Išmokau gyventi su nugaros skausmais.	I've learned to live with the pain in my back.
Išsiplauk rankas muilu.	Wash your hands with soap.
Iš žmonių pasigirdo šūksnis.	A shout arose from the people.
Jam nepatinka apelsinai.	He doesn't like oranges.
Jei Dievas neegzistuotų, mums tektų jį sukurti.	If God did not exist, it would be necessary to invent him.
Jeigu nebūtų oro, žmogus nepragyventų nė dešimt minučių.	If there were no air, man could not live even ten minutes.
Jei tu neeisi į mokyklą, tada tu nieko neišmoksi.	If you don't go to school, then you won't learn anything.
Ji bando perdažyti savo namus.	She's trying to repaint her house.
Jie sumalė kviečius į miltus.	They grind wheat into flour.
Ji išėjo nė neatsisveikinusi su savo draugais.	She left without even saying good-bye to her friends.
Ji nori perdažyti savo plaukus raudonai.	She wants to dye her hair red.
Ji pamėtė knygą.	She lost a book.
Ji pasidarė popierinę snaigę.	She made a paper snowflake.
Ji pasišildė prie ugnies.	She warmed herself by the fire.
Jis apribojo gėrimą iki vieno alaus per dieną.	He restricted his drinking to one beer a day.
Jis buvo toks skurdus kad nė negalėjo nusipirkti duonos.	He was so poor that he couldn't buy bread.
Jis neigė esąs vagis.	He denied that he was the thief.
Jis pabalo iš siaubo.	He turned pale with fright.
Jis pametė savo naują laikrodį.	He lost his new watch.
Jis parsivežė suvenyrų.	He brought back several souvenirs.
Jis tau paskolins šią knygą.	He'll lend you his book.
Ji žino viską apie maisto gaminimą.	She knows everything about cooking.
Jo šalyje, gimtadienį švenčiama ne vieną dieną, o visą savaitę.	In his country, a birthday was celebrated not just for a day, but for a whole week.
Jo veidas pabalo.	His face turned white.
Jūs negalite nusižudyti susilaikant kvėpavimą.	You cannot kill yourself by holding your breath.
Kai mes pažiūrėjome žemyn, mes pamatėme daug pastatų.	When we looked down, we saw many buildings.
Kaip seniai pradėjai mokytis esperantų kalbos?	How long ago did you start learning Esperanto?
Ką labiau mėgsti: obuolius ar bananus?	Which do you like better, apples or bananas?
Kas tik gali pakrypti bloga linkme taip ir pakryps.	Whatever can go wrong will go wrong.
Kas vagia kiaušinį, pavogs ir jautį.	He who steals a pin will steal an ox.
Kenas pasiteiravo apie jo tėvo sveikatą.	Ken inquired about his father.
Kiek tu turi brolių ir sesių?	How many siblings do you have?
Komanda buvo padalinta į mažesnes grupeles.	The team was divided into smaller groups.
Kraujas teka kraujagyslėse.	Blood runs in the veins.
Lietuva įstoja į Europos Sąjungą.	Lithuania is joining the European Union.
Maisto ruošimas užima per daug laiko.	Cooking takes up too much time.
Man nepatinka gyventi tokioje triukšmingoje vietoje.	I dislike living in such a noisy place.
Mano sesė mėgsta melionus, ir aš taip pat.	My sister likes melons and so do I.
Mano šuo buvo rimtai susirgęs.	My pet dog was seriously ill.
Man užteko sutaupytų pinigų nusipirkti norimą gitarą.	I had enough money saved to buy the guitar I want.
Marškiniai yra labai nešvarūs. Prieš tau einant į mokyklą, jie turi būti išskalbti.	The shirt is very dirty. Before you go to school, it has to be washed.
Mes atsikėlėme anksti tam kad galėtume pamatyti saulėtekį.	We got up early so that we could see the sunrise.
Mes buvome nustebinti jo elgsena.	We were surprised by his behavior.
Mes įkalbėjome jį pakeisti savo nuomonę.	We persuaded him to change his mind.
Musė gali vaikščioti lubomis.	A fly can walk on the ceiling.
Mūsų komandai trūko mobilumo.	The team lacked mobility.
Neatidarykite prieš tai kai traukinys sustos.	Don't open before the train stops.
Nedėk vilčių, kad jis paskolins tau pinigų.	Don't count on him to lend you any money.
Nepavėluok į autobusą.	Don't miss the bus.
Nesitikėk, kad jis paskolins tau pinigų.	Don't count on him to lend you any money.
Neužmink man ant galvos.	Don't step on my head.
Norėčiau nusipirkti medinę trobelę kur nors Kanadoje.	I'd like to buy a log cabin somewhere in Canada.
Nustok būčiuoti keistus berniukus!	Stop kissing strange boys!
Pažiūrėjus į jo veidą, galima buvo pasakyti kad jis buvo susierzinęs.	Looking at his face, you could tell that he was annoyed.
Pažiūrėk į tą kalną padengtą sniegu.	Look at that mountain which is covered with snow.
Pažūrėk į pavyzdį paduotą viršuje.	See the example given above.
Ponai, užveskite savo variklius.	Gentlemen, start your engines.
Prie mano bato pado prilipo kramtomoji guma.	Gum got stuck to the bottom of my shoe.
Rugsėjo mėnesį vandenyne būna gausu medūzų.	There are lots of jellyfish in the ocean in September.
Sėskime ant suolo.	Let's sit down on the bench.
Šie apelsinai yra skanūs.	These oranges taste good.
Šį mėnesį dar nelijo.	It has not rained this month yet.
Ši tendencija yra pakankamai naudinga.	This tendency is quite useful.
Stalas neužima daug vietos.	The table doesn't take much room.
Sudarykite jo fotorobotą!	Make his identikit!
Tau nepatinka pasakojimai apią meilę.	You don't like love stories.
Teste padariau rimtą klaidą.	I made a serious mistake on the test.
Tomas dar tik apšyla.	Tom is just warming up.
Tomas galvojo kad Merė napakankamai miegojo.	Tom thought that Mary wasn't getting enough sleep.
Tomas galvojo kad Mėrės sijonas buvo per tumpas.	Tom thought Mary's skirt was way too short.
Tomas gavo šiuos biletus už dyką.	Tom got these tickets for free.
Tomas niekada neaplankė Merės ligoninėje.	Tom never visited Mary in the hospital.
Tomas niekada neapvils tavęs.	Tom will never let you down.
Triušiai mėgsta valgyti morkas.	Rabbits like to eat carrots.
Turiu vyresnįjį brolį, kuris yra tavo metų.	I have an older brother who's the same age as you.
Turiu vyresnįjį brolį, kuris yra tokio pat amžiaus, kaip tu.	I have an older brother who's the same age as you.
Vaikai skina sode gėles.	The kids are picking flowers in the garden.
Vakar susipykau su savo vyresniu broliu.	I quarrelled with my older brother yesterday.
Vilko neįmanoma prisijaukinti.	A wolf cannot be tamed.
Visata yra beribė.	The universe is endless.
Vokiški automobiliai yra vieni iš geriausių.	German cars are among the best.
Voveraitės valgo lazdyno riešutus.	Squirrels eat hazelnuts.
Vskas, ką jis sakė, buvo tiesa.	Everything he said was right.
Ar galiu naudotis tavo žodynu?	Can I use your dictionary?
Ar galiu pasinaudoti tavo žodynu?	Can I use your dictionary?
Ar panelė Smif yra anglų kalbos mokytoja?	Is Miss Smith an English teacher?
Ar saugu čiuožinėti ant šio ežero?	Is it safe to skate on this lake?
Aš buvau liudytoja.	I was a witness.
Aš esu vengras.	I am Hungarian.
Aš išgėriau vieną alaus ir apsimečiau labai girtu.	I had one beer and pretended to be very drunk.
Aš mėgstu korėjietišką maistą.	I like Korean cuisine.
Aš norėjau tapti filosofe.	I wanted to become a philosopher.
Aš skolinu pinigus.	I lend money.
Aš su juo susidraugavau kai aš buvau Taivane.	I became friends with him while I was in Taiwan.
Aš susidraugavau su mokiniu iš užsienio.	I made friends with a student from abroad.
Aš susidraugavau su studentu iš užsienio.	I made friends with a student from abroad.
Aš svajoju išvykti į Lietuvą ir ten apsigyventi.	I dream of going to Lithuania and living there.
Aš užsisakau picą.	I order pizza.
"A" yra pirma abecėlės raidė.	A is the first letter of the alphabet.
Civilizuotoje Europoje buliai vis dar yra kankinami ir žudomi pramogai.	In civilized Europe, bulls are still tortured and killed for fun.
Esu aštuntame aukšte.	I'm on the eighth floor.
Gali naudotis mano žodynu.	You can use my dictionary.
Geležis yra daug naudingesnė nei auksas.	Iron is much more useful than gold.
Geriausias būdas išmokti prancūzų kalbą yra pagyventi prancūzakalbėje šalyje.	The best way to learn French is to live in a French-speaking country.
Greitai iš pietų parskris kregždutės.	Soon, swallows will come from the south.
Jai buvo virš trisdešimt, kai atsiskleidė jos talentas.	She was over thirty when her artistic talent emerged.
Japonijoje studijuojama anglų kalba.	English is studied in Japan.
Japonijoje yra mokomasi anglų kalbos.	English is studied in Japan.
Jis mėgsta saldžią arbatą.	He likes sweet tea.
Jis moka tardyti žmones.	He knows how to interrogate people.
Jis tapo pianistu.	He became a pianist.
Jis užgesino gaisrą.	He extinguished the fire.
Jis užgesino šviesą.	He turned off the light.
Jis užgesino ugnį.	He extinguished the fire.
Ji turi patrauklias akis.	She has attractive eyes.
Jo sėkmė mane padrąsino.	His success encouraged me very much.
Juo galima pasikliauti iškilus bet kokiems sunkumams.	You can always count on him in any emergency.
Kai man liūdna, draugai mane paguodžia.	When I'm sad, my friends encourage me.
Kava kenkia tavo skrandžiui.	Coffee does harm to your stomach.
Kažkas yra ne taip su šiuo jogurtu.	There's something wrong with this yoghurt.
Kodėl tu perdažei savo namą žalia spalva?	Why did you repaint your house green?
Kol aš buvau Taivane, aš su juo susidraugavau.	While I was in Taiwan, I made friends with him.
Kupranugariai dažnai naudojami keliaujant dykumose.	Camels are often used to travel in the desert.
Kur tu nunešei mano antklodę?	Where did you take my blanket?
Kur yra tavo nauja staltiesė?	Where is your new tablecloth?
Liga sukliudė jos kelionę.	Illness prevented her from taking a trip.
Mane labai sukandžiojo uodai.	I got a lot of mosquito bites.
Mano dukra peršalo.	My daughter caught a cold.
Mano motina kasryt iškepa duonos.	My mother bakes bread every morning.
Mano regėjimas pradeda silpti.	My eyesight is beginning to fail.
Mano senelė niekada nekeitė savo gyvenimo būdo.	My grandmother never changed her style of living.
Mano sūnui atsibodo hamburgeriai.	My son is tired of hamburgers.
Man reikia analgetikų.	I need an analgesic.
Marija nuėjo su savo helovyno kosiumu į mokyklą.	Mary wore her Halloween costume to school.
Medžioklė uždrausta nacionaliniuose parkuose.	Hunting is banned in national parks.
Merės svojonė išvažiuoti į užsienį pagaliau tapo tikrove.	Mary's dream of going abroad finally became a reality.
Mes ją išrinkome savo komandos kapitone.	We elected her captain of our team.
Mes pagaliau išleidome tą knygą.	We finally published the book.
Mes radome gražią mėlyną lagūną tolimoje salos pusėje.	We found a beautiful, blue lagoon on the far side of the island.
Mes turime išmokti gyventi harmonijoje su gamta.	We must learn to live in harmony with nature.
Metus sudaro dvylika mėnesių: sausis, vasaris, kovas, balandis, gegužė, birželis, liepa, rugpjūtis, rugsėjis, spalis, lapkritis ir gruodis.	January, February, March, April, May, June, July, August, September, October, November and December are the twelve months of the year.
Ministras atsisakė duoti interviu reporteriams.	The minister refused to give an interview to the reporters.
Mokslas, bičiuli, padarytas iš klaidų, tačiau gerųjų, kadangi jos palaipsniui priartina tave prie tiesos.	Science, my lad, is made out of errors, but of good ones, for they bring you step by step closer to the truth.
Nara yra tylus ir gražus miestas.	Nara is a quiet and beautiful city.
Nebėgiokite aplink baseiną.	Don't run around the pool.
Neužlipk ant sudužusio stiklo.	Don't step on the broken glass.
Nevenkite mano klausimo.	Don't avoid my question.
Nevenk mano klausimo.	Don't avoid my question.
Oras yra vėjuotas.	The weather is windy.
Pagal radiją, rytoj snigs.	According to the radio, it will snow tomorrow.
Po kelių metų žmonės teigs, kad paskutinis didelis karas buvo daugiau nei prieš šimtmetį.	In some years from now, people will say the last great war was over a hundred years ago.
Ponia Smif buvo įžymi gražuolė.	Mrs. Smith was a famous beauty.
Prancūzijos komanda pelnė tiek pat įvarčių, kiek ir Anglijos.	The French team scored as many goals as the English team.
Rugsėjis buvo labai lietingas.	This September was very rainy.
Salė prisiminė laikus kai jos senėlė buvo stipri ir sveika.	Sally recalled the days when her grandma was strong and healthy.
Šioje šalyje karvės yra naudingesnės už bet kokius kitus gyvulius.	Cows are more useful than any other animal in this country.
Šioje stiklinėje yra vandens.	This glass contains water.
Šio plano įvykdymas bus labai brangus.	This plan will be very expensive to carry out.
Šį sakinį galima suprasti dvejopai.	This sentence can be interpreted in two ways.
Šis miestas naktį būna lyg apmiręs.	This town is really dead at night.
Skubėjau į autobusų stotelę, tam kad nepavėluočiau į paskutinį autobusą.	I hurried to the bus stop so that I would not miss the last bus.
Snigo jau visą savaitę.	It had been snowing for a week.
Snigo visą naktį.	It's been snowing all night.
Sulaužta lėlė yra mano.	The broken doll is mine.
Sunaudojome visas anglis.	We have used up the coal.
Sutemo. Gal įjungtum šviesą?	It's become dark. Would you turn on the light?
Taip kalbėjo Zaratustra.	Thus spoke Zarathustra.
Tai skirta vidiniam naudojimui.	This is for internal use.
Tie ponios ir ponai kurie gyvena Jokohamos priemiesčiose, jei tai jums patogu, prašome atvykite.	Those ladies and gentlemen who live in the suburbs of Yokohama, if it is convenient to you, please come.
Tomas dingo nepalikdamas nė pėdsako.	Tom disappeared without leaving a trace.
Tomas išgulėjo lovoje tris savaites.	Tom spent three weeks in bed.
Tomas liepė Merei nešvaistyti pinigų tokiam dalykui.	Tom told Mary not to waste her money on such a thing.
Tomas mokosi dailiojo čiuožimo.	Tom is learning to figure skate.
Tomas nemanė, kad tai ką Merė devėjo, buvo tinkama progai.	Tom didn't think what Mary was wearing was appropriate for the occasion.
Tomas paprašė Merės taip greitai nevairuoti.	Tom asked Mary not to drive so fast.
Tomas stipriai užmerkė savo akis ir ištvėrė skausmą.	Tom closed his eyes tightly and endured the pain.
Tomas turi sesę advokatę.	Tom has a sister who is a lawyer.
Tomas yra įgarsintojas.	Tom is a voice actor.
Tonis kartais aplankydavo savo šeimą.	Tony sometimes visited his family.
Tu negali prijaukinti vilko.	You cannot tame a wolf.
Užmušusi Tomą, Merė pabėgo pro langą.	After killing Tom, Mary escaped through the window.
Vaikai kartais būna nekantrūs.	Children sometimes lack patience.
Vakar aš girdėjau tave kalbančią per miegus.	Yesterday I heard you talking in your sleep.
Vakar aš prikepiau pyragų su grybais.	Yesterday I baked pastries with mushrooms.
Viena mano svajonių - kada nors pamatyti Šiaurės pašvaistę.	One of my dreams is to one day see the aurora borealis.
Vienoje savaitėje yra septynios dienos.	In one week there are seven days.
Visatoje yra nesuskaičiuojama daugybė žvaigždžių.	There are innumerable stars in the universe.
Visi keliai vedantys į miestą yra pilni automobilių.	All the roads leading into the city are full of cars.
Žaidžiu žaidimą su savo seseria.	I play a game with my sister.
Ak, tai štai kaip yra melžiama karvė?	Oh, is that the way you milk a cow?
Alkoholis neišsprendžia jokių problemų.	Alcohol doesn't solve any problems.
Ankaroje, visi metų laikai yra tarsi žiema.	In Ankara, all the seasons are like winter.
Ar Borneo yra sala ar žemynas?	Is Borneo an island or a continent?
Ar tau pasakė priežastis kodėl mes tavęs neįdarbinome?	Have you been told the reasons why we didn't hire you?
Ar turite užsienietiško alaus?	Do you have a foreign beer?
Ar žmonių padėtis pakankamai lanksti, kad jie prisitaikytų prie nežemiškos aplinkos?	Is the human condition flexible enough to adapt to environments beyond Earth?
Aš atlikau karinę tarnybą Ankaroje.	I had my military service in Ankara.
Aš ir dabar atsimenu tuos laikus, kai su tavim kartu rengėme iškylas.	I can still remember the time when we went on a picnic together.
Aš mėgstu tinklinį taip pat kaip ir krepšinį.	I like volleyball as well as basketball.
Aš neeinu š mokyklą sekmadieniais.	I don't go to school on Sunday.
Aš negaliu uždaryti šių durų. Jos sulūžusios.	I can't close this door. It's broken.
Aš nurausiu tau kiaušus, jeigu bent dirstelėsi į jos pusę.	I'll rip your fucking balls off if you ever as much as look her way.
Aš radau knygą su raudonu viršeliu ir nusprendžiau ją pasiskolinti.	I found a book with a red cover and decided to borrow it.
Aš turiu iššukuoti savo plaukus.	I have to comb my hair.
Aš turiu vis daugiau ir daugiau žilų plaukų.	I'm getting more and more gray hair.
Aš valausi dantis po valgio.	I brush my teeth after eating.
Aukskas yra daug sunkesnis už vandenį.	Gold is far heavier than water.
Būk atsargus rinkdamasis draugus.	You should be careful in choosing friends.
Burdž Chalifa šiuo metu yra aukščiausias dangoraižis pasaulyje.	Burj Khalifa is currently the tallest skyscraper in the world.
Buvau palydėtas prie savo vietos.	I was ushered to my seat.
Džonas turbūs išlaikys egzaminą.	John will probably pass the examination.
Džudė praleidžia daug laiko besižiūrėdama į veidrodį.	Judy spends a lot of time looking in the mirror.
Helovinas švenčiamas spalį.	Halloween's celebrated in October.
Įkaliau vinį į sieną paveikslui pakabinti.	I hammered a nail into the wall in order to hang a painting.
Išdžiovink kelnes ant radiatoriaus.	Dry the pants on the radiator.
Jei tiki, kad visuomenė nesukūrė nieko vertingo, tai galima teigti, kad tiki ir masiniu sunaikinimu.	If you believe society hasn't made anything worthwhile, then you might believe also in mass destruction.
Jie apsikeitė dovanomis.	They exchanged gifts.
Jie turi būti atsikėlę rytoj 5 ryto.	They have to be awake by 5:00 a.m. tomorrow.
Jie viešėjo Romoje iki rugsėjo.	They stayed in Rome till September.
Jis atidavė visus pinigus, kuriuos buvo pasiskolinęs.	He gave back all the money he had borrowed.
Jis gyvena Ankaroje nuo 2006 metų.	He has been living in Ankara since 2006.
Jis naudojosi visomis įmanomomis priemonėmis.	He used all available means.
Jis perplaukė per upę.	He swam across the river.
Jis šešerius metus gyveno Ankaroje.	He lived in Ankara for six years.
Jis vedė Nikaragvoje.	He got married in Nicaragua.
Jo kalboje buvo daug įmatrių frazių.	His speech contained many fine phrases.
Jordano upė tai vienintelė upė kuri įteka į Negyvają jūrą.	The Jordan River is the only river flowing into the Dead Sea.
Kažkas groja fortepijonu.	Somebody is playing the piano.
Laikyk akis užmerktas kol aš tau pasakysiu jas atmerkti.	Keep your eyes closed until I tell you to open them.
Lietuviškai Lietuva vadinama "Lietuva".	Lithuania is called "Lietuva" in Lithuanian.
Mačiau jį įeinantį į kambarį.	I saw him enter the room.
Manau kad čiaudėsiu... Duok man nosinę.	I think I'm gonna sneeze. Give me a tissue.
Mano katės jau nebemiega po mano lova.	My cats aren't sleeping under the bed any more.
Mano puseserė yra už mane truputį vyresnė.	My cousin is a little older than I.
Mano šeima yra man svrbesnė už mano darbą.	My family is more important to me than my job.
Marilė turėjo problemų su plaučiais.	Marilla had problems with her lungs.
Mėgstu tenisą labiausiai iš visų sportų.	I like tennis the best of all sports.
Mes galiausiai susitaikėme su savo likimu.	We eventually came to terms with our fate.
Mes jau paminėjome Tomą.	We've already mentioned Tom.
Mes papuošėme Kalėdų eglutę žiburėliais.	We decorated the Christmas tree with lights.
Mes suorganizavome knygas pagal dydį.	We arranged the books according to size.
Mes susigrūdome į liftą.	We jammed into the elevator.
Mokytis užsieno kalbą yra įdomu.	Learning a foreign language is interesting.
Mūsų laivas artinosi prie uosto.	Our ship was approaching the harbor.
Mūsų matematikos mokytojas nupiešė apskritimą ant lentos.	Our math teacher drew a circle on the blackboard.
Nebėgiok aplink baseiną.	Don't run around the pool.
Nėra nieko vertingesnio už sveikatą.	Nothing is more valuable than health.
Niekada nemaitinkite savo katės šunų maistu.	Never feed dog food to your cat.
Nusipirkime kelis ginklus.	Let's buy a few weapons.
Pagaliau pasivijau savo draugus.	I finally caught up with my friends.
Paprašiau motinos pažadnti mane ketvirtą.	I asked my mother to wake me up at four.
Paryžius vadinamas žiburių miestu. Daug gražių pastatų naktį yra apšviesti.	Paris is called the City of Lights. Many beautiful buildings are lit at night.
Pataisyk pabrauktus žodžius.	Correct the underlined words.
Pažiūrėjome pro langą, bet nieko nepamatėme.	We looked out the window, but we didn't see anything.
Prancūziškas žodis "chat" reiškia "katė".	The French word 'chat' means 'cat'.
Prieš atsikeldamas iš lovos, aš praleidžiu kažkiek laiko galvodamas apie tai, ką veiksiu likusią dienos dalį.	Before I get out of bed, I spend a little time thinking about what I'll be doing the rest of the day.
Sakoma, kad globalinis atšilimas yra tiesiogiai susietas su anglies dvideginio emisija.	It is said that global warming is directly related to carbon dioxide emissions.
Šeima man buvo labai svetinga.	I received the hospitality of the family.
Šiame internetiniame puslapyje daugiau yra narių vyrų nei moterų.	There are more male members than female ones on this website.
Šie vaistai turi būti vartojami tris kartus per dieną.	These medicines should be taken three times a day.
Ši lagūna yra labai gili.	The lagoon is very deep.
Šio metodo veiksmingumas buvo patvirtintas daugelio žmonių patirtimi.	The effectiveness of this method was confirmed by many people's experiences.
Staiga, dangus patamsėjo.	All of a sudden the sky became dark.
Stručiai nemoka skraidyti.	Ostriches can't fly.
Tai yra pigiausias iš visų metodų.	This is the least expensive method of all.
Ta lagūna yra labai gili.	The lagoon is very deep.
Tingumas yra mano silpnoji vieta.	Laziness is my weak point.
Tomas apie Indoneziją daug nežino.	Tom doesn't know much about Indonesia.
Tomas buvo šališkas.	Tom was biased.
Tomas galiausiai nusiramino.	Tom eventually calmed down.
Tomas melžia karvę.	Tom is milking the cow.
Tomas nežino skirtuma tarp Dievo ir Velnio.	Tom doesn't know the difference between God and the Devil.
Tomas žiūrėjo animacinį filmuką.	Tom watched a cartoon.
Tomas žuvo nutrenktas žaibo.	Tom was killed by lightning.
Tomui nepavyko įkalbinti Merę likti.	Tom couldn't persuade Mary to stay.
Trįjų asmenų vis dar trūksta.	Three people are still missing.
Turėk omeny, kad jaunystė neamžina.	Keep in mind that youth is not eternal.
Turiu kosulį.	I have a cough.
Verčiamą sakinį išverskite gerai. Neleiskite, kad vertimai į kitas kalbas darytų jums įtaką.	Make a good translation of the sentence that you are translating. Don't let translations into other languages influence you.
Verk - ašaros yra širdies žiedlapiai.	Cry: tears are the heart's petals.
Vienišas žmogus gauna malonumą stebėdamas skruzdėles.	The lonely man derives pleasure from observing ants.
Visą naktį praleidome kalbėdamiesi.	We talked the night away.
Vladivostokas yra miestas Rusijoje.	Vladivostok is a city in Russia.
Žaidymų aikštelėje yra dvi mergaitės.	There are two girls in the playground.
Afrikietiški drambliai yra didesni už azijietiškus dramblius.	African elephants are larger than Asian elephants.
Ak, dėkoju jums, maloningasis pone.	Oh, thank you, kind sir.
Ar obiektyvi istorija egzistuoja?	Does objective history exist?
Aš apsimečiau nesuprantanti ką jis sakė.	I pretended not to understand what he was saying.
Aš gavau bonusą.	I got a bonus.
Aš gavau savo bonusą.	I received my bonus.
Aš girdėjau mūsų šunį lojant visą naktį.	I heard our dog barking all night.
Aš gyvendavau kaime.	I used to live in a village.
Aš gyvenu Juodkalnijoje.	I live in Montenegro.
Aš kasmet perku naujų sąsiuvinių mokyklai.	Every year, I buy new notebooks for school.
Aš mėgstu instrumentinę muziką.	I like instrumental music.
Aš nugrioviau mokyklą.	I demolished the school.
Aš nusipirkau keturias naujas staltieses.	I bought four new tablecloths.
Aš pasakiau jai, kad man atsiųstu kitą bilietą.	I told her to send me another ticket.
Aš pasiskolinau šį paveiksliuką iš jo vyresnės sesers.	I borrowed this cartoon from his older sister.
Aš tuomet buvo studentas Jeile.	At that time, she was a student at Yale.
Aš turiu slubėti į pamoką.	I must hurry to class.
Aš žinau iš patirties; žaisti futbolą basam yra bloga idėja. Tu gali lengvai likti su sulaužtais kojų pirštais.	I know from experience; playing football barefoot is a bad idea. You could easily end up with broken toes.
Ateityje aš norėčiau tapti televizijos diktoriumi.	I want to become a TV announcer in the future.
Atnešk man fleitą.	Bring me the flute.
Berniukas ieškojo pamesto rakto.	The boy was searching for the lost key.
Bet Tatoebos projektas nėra žodžių rojus. Prašome nustoti pridėti naujų žodžių.	But Tatoeba Project is not a word heaven. Please stop adding words.
Be vandens, kareiviai būtų numirę.	Without water, the soldiers would have died.
Buvo rasta dvidešimt dėžių. prikrautų piratiniais CD ir DVD diskais.	20 boxes filled with pirate CDs and DVDs were found.
Daktarai padarė viską ką galėjo tam kad jį išgydytų.	Doctors did everything they could to cure him.
Eksperimento metode turbūt yra trūkumas.	There must be a defect in the experimental method.
Elektrinė gitara neskamba taip pat kaip akustinė gitara.	An electric guitar doesn't sound the same as an acoustic one.
Farmacinė įmonė ieško „Gyvybės eliksyro“, sustabdysiančio senėjimo procesą.	The pharmaceutical company is looking for the Elixir of Life to stop the ageing process.
Gyvenimas šiandiens yra daug paprastesnis nei praeityje.	Life today is much easier than in the past.
Jei brolis manęs nebūtų išgelbėjęs, aš būčiau nuskendęs.	If my brother hadn't saved me, I would've drowned.
Jei žmonija nesirūpins aplinka, aplinka gali likviduoti žmoniją.	If mankind doesn't take care of the environment, the environment may eliminate mankind.
Ji norėjo pabėgti nuo kasdieninio gyvenimo.	She wanted to get away from everyday life.
Jis atsakė nemokąs nė trupučio prancūziškai.	He answered that he knew no French.
Jis ieško odinio diržo.	He's looking for a leather belt.
Jis mus linksmino juokingomis istorijomis.	He amused us with funny stories.
