Tai viskas.	That is all.
Tomas įsimyli kiekvieną sutiktą moterį.	Tom falls in love with every woman he meets.
Tomas mane įsivaikino.	I was adopted by Tom.
Tomas paraudo.	Tom blushed.
Tomas persirengė.	Tom changed clothes.
Tomas sugriovė vaikų pastatytą smėlio pilį.	Tom destroyed the children's sand castle.
Tomas yra kvalifikuotas būti širdies chirurgu.	Tom is qualified to be a heart surgeon.
Tomo namus ir ofisą apieškojo policija.	Tom's home and office were searched by the police.
Tomui patinka megzti.	Tom likes to knit.
Trumpi sijonai jau išėjo iš mados.	Short skirts have already gone out of fashion.
Tu gali sakyti ką nori apie mane, bet nesakyk niego blogo apie Tomą.	You can say anything you want about me, but don't say anything bad about Tom.
Tu negali nieko nusiprkti jei neturi pinigų.	You can't buy anything if you have no money.
Tu turi valgyti savo skrebutį.	You must eat your toast.
Vėjas nurimo.	The wind calmed down.
Visi atakavo mano nuomonę.	Everyone attacked my opinion.
Visi kaimai buvo labai gražūs.	All the villages were beautiful.
You're not the only one who doesn't	You're not the only one who doesn't like Tom.
Žiauriai šalta. Manau kad aš peršalsiu.	It's terribly cold. I think I'm going to catch a cold.
Anglas, belgas is olandas užeina į barą ir atsisėda prie prekystalio. Barmenas sako, "Pala pala, ar čia anekdotas ar kas?"	An Englishman, a Belgian and a Dutchman enter a pub and sit down at the counter. Says the barkeeper, "Wait a minute, is this a joke or what?"
Apskaičiuok kiek pinigų mums reikės kitais metais.	Calculate how much money we will need next year.
Ar aš švaistau savo laiką?	Am I wasting my time?
Architektas pritaikė šį namą senų žmonių poreikiams.	The architect adapted the house to the needs of old people.
Ar gali pašildyti sriubą?	Will you warm up the soup?
Ar galite suvynioti kaip dovaną?	Could you gift wrap it?
Ar galiu naudoti tavo žodyną?	Can I use your dictionary?
Ar jūs nusipirkote bulvių?	Did you buy some potatoes?
Ar padėkojai jam? Ar pasakei ačiū?	Did you thank him? Did you say thank you?
Ar tu kada nors prisiūvai sagą?	Have you ever sewed on a button?
Ar tu prisimeni tą pardotuvę?	Do you remember that store?
Ar turite pigesnių kambarių?	Do you have any cheaper rooms?
Aš apsilankiau Romoje pirmą kartą savo gyvenime.	I visited Rome for the first time in my life.
Aš atsitiktinai sutikau ją pardotuvėje.	I met her in the store by accident.
Aš esu airė.	I'm Irish.
Aš girdėjau ją dainuojant.	I heard her singing.
Aš gyvenu Atėnuose.	I live in Athens.
Aš išėjau anksti, kad pagaučiau pirmą autobusą.	I left early to catch the first bus.
Aš jus nuvešiu į naują pardotuvę.	I'll drive you to the new store.
Aš kairiarankė.	I'm left handed.
Aš kasryt maudausi vonioje.	I take a bath every morning.
Aš laukiu kol ji įlips į savo automobilį.	I'm waiting for her to climb into her car.
Aš mačiau Tomą žaidžiantį tenisą.	I saw Tom play tennis.
Aš maudžiausi vonioje kai tu man paskambinai.	I was taking a bath when you called me.
Aš nebepykstu.	I'm not angry anymore.
Aš neigiu viską.	I deny everything.
Aš nevažiavau greitai.	I wasn't driving fast.
Aš ne vienintelis, mėgstantis Tomą.	I'm not the only one who likes Tom.
Aš niekada tavęs neieškojau.	I never looked for you.
Aš noriu nusipirkti šį žodyną.	I want to buy this dictionary.
Aš sedėjau autobuso priekyje.	I sat in the front of the bus.
Aš studijuosiu.	I'm going to study.
Aš suprantu turkiškai.	I understand Turkish.
Aš to neneigsiu.	I won't deny that.
Aš turiu gerą žodyną.	I have a good dictionary.
Aš turiu nuskusti visą kibirą obuolių uogienei.	I have to peel a whole bucket of apples for a jam.
Aš turiu tokį patį žodyną, kaip tavo brolis.	I have the same dictionary as your brother has.
Aš turiu „Twitter“ paskyrą.	I have a Twitter account.
Aš vis dar turiu atsikratyti šiuo kilimu.	I still have to get rid of this carpet.
Atsisėskime ant suolo.	Let's sit down on the bench.
Atsisėskime.	Let's sit down.
Bandykite dar kartą.	Try again.
Bobas tuo metu plovė indus.	Bob was washing the dishes at that time.
Būk atidi!	Pay attention!
Dievas laimina tuos kurie atgailauja.	God blesses those who repent.
Eik į pardotuvę ir nupirk mums maisto.	Go to the store and buy us some food.
Eik tiesiai ir rasi tą pardotuvę.	Go straight on, and you will find the store.
Einu į pardotuvę.	I am going to the shop.
Esu alkana, nes nepusryčiavau.	I am hungry because I did not eat breakfast.
Esu alkanas, nes nepusryčiavau.	I am hungry because I did not eat breakfast.
Esu pripratusi eiti miegoti vėlai.	I'm used to staying up late.
Esu pripratusi sunkiai dirbti.	I am accustomed to working hard.
Gaisrai yra vis mažiau baisūs nei kadaise, kadangi vis daugiau namų statomi iš betono, o namai iš betono nedega taip lengvai kaip seni mediniai.	Fires are less frightening today than they once were, because more and more houses are built of concrete, and concrete houses do not burn as easily as the old wooden ones.
Galvojau, niekada to neišgirsiu.	I thought I'd never hear that.
Grįžk namo prieš sutemstant.	Come home before dark.
Gyvenimas be meilės yra visiškai beprasmiškas.	Life without love is just totally pointless.
Japonijai trūksta žaliavų.	Japan is lacking in raw materials.
Jau sutemo.	It is already dark.
Jei aš turėčiau pinigų, keliaučiau aplink pasaulį.	If I had money, I would travel around the world.
Jei turėčiau sparnus, skrisčiau pas tave.	If I had wings, I would fly to you.
Ji atidarė naują pardotuvę.	She opened a new store.
Ji dažo savo kambarį balta spalva.	She's painting her room white.
Ji dirbo turtingam vyrui.	She worked for a rich man.
Jie abu dėvi skrybėles.	They both are wearing a hat.
Ji eina atgal į pardotuvę kur ji pamiršo savo pinigus.	She's walking back to the store where she forgot her money.
Jie yra žmonės, gyvenantis už gretimų durų.	They are the people who live next door.
Ji neištekėjo už to vyro.	She did not marry the man.
Ji pabučiavo man skruostą ir palinkėjo labos nakties.	She kissed me on the cheek and said goodnight.
Ji palinkėjo man labos nakties.	She wished me good night.
Ji pavadino jį Čarlsu.	She named him Charles.
Ji perbėgo akimis sąrašą, ieškodama jame savo vardo.	Her eyes ran over the list to see if her name was on it.
Ji plovė indus.	She was washing the dishes.
Ji plovė kilimą.	She washed a carpet.
Ji pripratusi sedėti.	She is used to sitting.
Jis apsipirko.	He went shopping.
Jis buvo generolu Antrajame Pasaulinime Kare.	He was a general in the Second World War.
Jis čia atėjo prieš baigiantis pamokoms.	He came here before school was over.
Jis dažo savo namą.	He's painting his house.
Jis ėjo į pardotuvę, bet sustojo prie jos namų.	He was walking to the store, but stopped next to her house.
Jis išėjo anksti; kitaip jis nebūtų spėjęs į traukinį.	He left early; otherwise he could not have caught the train.
Jis nemiegojo visą naktį, skaitydamas romaną.	He stayed up all night reading a novel.
Jis niekada nepraranda vilties.	He never loses hope.
Jis norėtų sužinoti, ar žaidi šaškėmis.	He would like to know whether you play chess.
Jis nuėjo į pardotuvę nupirkti apelsinų.	He went to the store to buy some oranges.
Jis perbėgo per gatvę, palikdamas ją vieną.	He ran across the street, leaving her alone.
Jis susižalojo griūdamas.	He hurt himself upon falling.
Ji sutiko jį džiugiai.	She greeted him cheerfully.
Jis užvažiavo ant minos ir jo džipas susprogo.	He drove over a land mine and his jeep blew up.
Jis vaikščioja po parką.	He walks in the park.
Jis visada su manim pasikalba, kai susitinka mane gatvėje.	He always speaks to me when he meets me on the street.
Jis yra labai skeptiškas.	He's very skeptical.
Ji tapo paštininke.	She became a postman.
Ji turi žalias akis ir šviesiai rudus plaukus.	She has green eyes and light brown hair.
Jo dukra nubėgo į pardotuvę ir nupirko saldainių.	His daughter ran to the store and bought some candies.
Jos abi dėvi skrybėles.	They both are wearing a hat.
Jos megztinis yra violetinis.	Her sweater is purple.
Jūs esate gresmė mūsų misijai.	You're a threat to our mission.
Kada turėtų atplaukti laivas?	When is the ship due to arrive?
Kai aš prabudau, visi kiti keleiviai buvo išlipę.	When I woke up, all other passengers had gotten off.
Kaip laikotes, panele?	How are you doing, miss?
Kaip šis uodas vadinasi angliškai?	What do you call this insect in English?
Kam tu nusipirkai šį brangų žodyną?	What did you buy this expensive dictionary for?
Karvės pienas yra skanesnis nei sojos pienas.	Cow's milk is tastier than soy milk.
Kelintą ji atsikelia?	What time does she get up?
Kenas nuėjo į pardotuvę nupirkti kiaušinių.	Ken went to the supermarket to buy some eggs.
Kiek elektroninių laiškų parašai per dieną?	How many e-mails do you write every day?
Kiekvienas asmuo užmokėjo tūkstantį dolerių.	Each person paid a thousand dollars.
Kodėl tu nusipirkai šį brangų žodyną?	Why did you buy this expensive dictionary?
Kompiuterių priedai Japonijoje labai brangūs.	Computer supplies are very expensive in Japan.
Kuriuo metu taksi nuvažiuos į oro uostą?	At what time will the taxi go to the airport?
"Labas rytas", - pasakė Tomas šypsodamasis.	"Good morning", said Tom with a smile.
Laimė priklauso ne tiek nuo išorinių aplinkybių, kiek nuo mūsų požiūrio į gyvenimą.	Happiness depends, not so much on circumstances, as on one's way of looking at one's life.
Leisk man eiti į pardotuvę.	Let me go to the store.
Lik pozityvus.	Stay positive.
Manau geriau būtų jei tu nueitum ir jį aplankytum.	I think you'd better go and visit him.
Manau kad jis turi pakesti savo gyvenimo būdą.	I think he needs to alter his lifestyle.
Man nepatinka sogūnų skonis.	I don't like the taste of onions.
Man nesiseka rašyti sakinių.	I'm bad at writing sentences.
Mano brolis turi „Twitter“ paskyrą.	My brother has a Twitter account.
Mano sesuo mėgsta saldumynus.	My sister likes sweets.
Meilė yra bepročiams.	Love is for lunatics.
Mergaitė sėdinti prie pianino yra mano dukra.	The girl sitting at the piano is my daughter.
Mes čia pietaujame.	We're having lunch here.
Mes norime užbaigtų sakinių.	We want complete sentences.
Mes pasirengusios.	We're ready.
Mes prieštaravom jo planui nutiesti naują kelią.	We opposed his plan to build a new road.
Mes rimtai pasikalbėjome.	We talked seriously to one another.
Mes turime nusiauti batus prieš įeinant į namą.	We should take off our shoes before entering the house.
Mes žinome, kad visi žmonės yra mirtingi.	We know that all men are mortal.
Mokytojas išplūdo mane.	I was scolded by my teacher.
Mums reikės dvidešimt kauliukų tam kad žaistume šį žaidimą.	We'll need twenty dice to play this game.
Nepadėkite Tomui.	Don't help Tom.
Nepirk nieko Tomui.	Don't buy Tom anything.
Nesidrovėk. Tavo tarimas yra daugmaž teisingas.	Do not be shy. Your pronunciation is more or less correct.
Nežinodami ką daryti, mes paskambinome policijai.	Not knowing what to do, we telephoned the police.
Nori, kad tave išmokyčiau?	Do you want me to teach you?
Nuvežk mane į pardotuvę.	Drive me to the store.
Obuoliai man patinka labiau už apelsinus.	I prefer apples to oranges.
Padainuokime dainą.	Let us sing a song.
Pakelk ranką prieš atsakydama.	Raise your hand before you answer.
Paprastai aš nieko nelaukiu.	I don't usually wait for anybody.
Parašyk savo vardą didelėm raidėm.	Write your name in capitals.
Parašyta lengva anglų kalba, ši knyga yra lengvai skaitoma.	Written in easy English, the book is easy to read.
Pasaruoju metu aš buvau užsiėmęs.	I've been busy lately.
Pasaugokime tą kitai progai.	Let's reserve that for another occasion.
Pasikalbėkime apie Paulą.	Let's talk about Paola.
Pavežėk mane savo automobiliu.	Give me a lift in your car.
Pažvelk į per tiltą važiuojantį traukinį.	Look at the train going over the bridge.
Persivalgiau.	I ate too much.
Poetai rašo eilėraščius.	Poets write poems.
Prašau sujungti mane su ponu Smitu.	Will you please connect me with Mr. Smith?
Profesorius ramiai plovė savo rankas.	The professor calmly washed his hands.
Rašyk pieštuku.	Write it in pencil.
Šiandien mes išmoksime tris naujus žodžius.	Today, we'll learn three new words.
Ši knyga turi daug gražių paveikslėlių.	This book has many beautiful pictures.
Ši mintis yra mano argumento pagrindas.	This idea is the basis of my argument.
Šioje knygoje yra daug gražių paveikslėlių.	This book has many beautiful pictures.
Šioje pamokoje išmoksime abėcėlę.	We'll learn the alphabet in this lesson.
Ši pardotuvė nėra labai didelė.	This store isn't very big.
Šis kalnas yra padengtas sniegu visus metus.	This mountain is snow-covered the entire year.
Šitas persikas - tikras gražuolis.	This peach is a beauty.
Šuo merdėjo.	The dog was dying.
Surasti Džeinę mums buvo lengva.	It was easy for us to find Jane.
Tai idomi teorija.	That's an interesting theory.
Tėtis mėgsta sakyti juokingus dalykus.	Daddy loves to say funny things.
Tiek to, išversiu dar penkiolika sakinių ir tada išeisiu.	All right. I'll translate another fifteen sentences in German, and then leave.
Tiesiog buvai blogoje vietoje, blogu metu.	You were just in the wrong place at the wrong time.
Toje pardotuvėje gali sau nusipirkti šunį.	You can buy yourself a dog in that store.
Toje pardotuvėje parduoda mėsą.	They sell meat at that store.
Tomas kalbus.	Tom is talkative.
Tomas neatrodė sudomintas tuo ką Merė sakė.	Tom didn't seem interested in what Mary was saying.
Tomas palinkėjo Merei kuo geriausio.	Tom wished Mary the best of luck.
Tomas palinkėjo Merei sėkmės.	Tom wished Mary good luck.
Tomas paprašė Merės nueiti į pardotuvę ir nupirkti duonos.	Tom asked Mary to go to the store to buy some bread.
Tomas skutasi barzdą.	Tom is shaving his beard.
Tomas tikisi kad šiąnakt jis likučių ir vėl nevalgys.	Tom hopes he won't be eating leftovers again tonight.
Tomas vilisi kad šiąnakt jis likučių ir vėl nevalgys.	Tom hopes he won't be eating leftovers again tonight.
Tos dujos išduoda stiprų, negerą kvapą.	The gas gives off a strong, bad smell.
Tu esi gresmė mūsų misijai.	You're a threat to our mission.
Tu nežinai kokia aš sunerimusi.	You don't know how worried I am.
Tu turėtum būti pagarbus savo mokytojams.	You should be respectful to your teachers.
Tu turi grįžti namo prieš sutemstant.	You should return home before it gets dark.
Tu turi parisinkti savo pačios gyvenimo kelią.	You have to choose your own path in life.
Tu turi parisinkti savo paties gyvenimo kelią.	You have to choose your own path in life.
Vaikų ji taip daugiau ir nebematė.	She was never to see her children again.
Viename mėnesyje yra keturios savaitės.	In one month there are four weeks.
Violetinis dviratis kainuoja mažiau nei geltonas.	The purple bicycle costs less than the yellow.
Virš tilto yra krioklys.	There is a waterfall above the bridge.
Visa šalis buvo palaidota po sniegu.	The whole country was buried under snow.
Visi tesiog nusiraminkime.	Let's all just calm down.
Visi žmonės mirtingi.	All human beings are mortal.
Vos tik man užmigus, suskambėjo telefonas.	I had hardly fallen asleep when the telephone rang.
Vyras užpuolė ją su ketinimu ją nužudyti.	The man attacked her with the intention of killing her.
Žiurkė perbėgo per kelią.	A rat ran across the road.
Žvakės apšvietė kambarį.	The candles made the room bright.
Ant lovos miega du katinai.	There are two cats sleeping on the bed.
Ar advokatas gali su manimi pasimatyti pektadienį?	Can the lawyer see me on Friday?
Ar galiu suvalgyti šį apelsiną?	May I eat this orange?
Ar jis žino kur tie katinai pasislėpė?	Does he know where those cats hid themselves?
Ar nuvešite mane namo?	Will you drive me home?
Ar tu gali pagaminti skanias salotas?	Can you make a tasty salad?
Ar yra kažkas, ko jūs nesakote mums?	Is there something you're not telling us?
Aš apalpau.	I fainted.
Aš dabar nesimokau.	I am not studying now.
Aš dažnai studijuoju klausant muziką.	I often study while listening to music.
Aš išpyliau kavą ant tavo staltiesės.	I spilled coffee on your tablecloth.
Aš negaliu patikėti kad tu praverkdinai Tomą.	I can't believe that you made Tom cry.
Aš negaliu triukšmauti. Kūdikis miega.	I cannot make noise. The baby is sleeping.
Aš nemėgstu šitos pardotuvės.	I don't like this store.
Aš neturiu labai gero žodyno.	I don't have a very good dictionary.
Aš niekada nežinojau kad Tomo motina buvo Japonė.	I never knew Tom's mother was Japanese.
Aš norėčiau dar kartą atkreipti dėmėsį į šį paveikslėlį.	I'd like to bring attention to this picture again.
Aš noriu išmokti švediškai.	I want to learn Swedish.
Aš noriu MP3 grotuvo!	I want an MP3 player!
Aš nusiunčiau šią žinutę Todui.	I sent this message to Todd.
Aš nusivedžiau Tomą į savo mėgstamiausią restoraną Bostone.	I took Tom to my favorite restaurant in Boston.
Aš nustūmiau Tomą į vandenį.	I pushed Tom into the water.
Aš Ricardo.	I'm Ricardo.
Aš suspaudžiau Tomo ranką.	I squeezed Tom's hand.
Aš sutvarkau savo kambarį kiekvieną sekmadienį.	I clean up my room every Sunday.
Aš tau pasakiau, bet tu nekreipei dėmėsio.	I told you, but you didn't pay attention.
Aš tavęs nebemyliu.	I don't love you anymore.
Atsiprašau, aš nekreipiau dėmėsio. Ką tu pasakei?	I'm sorry, I wasn't paying attention. What did you say?
Bijau kad išpyliau kavą ant staltiesės.	I'm afraid I spilled coffee on the tablecloth.
Chuanai, ar turi seserį?	Do you have a sister, Juan?
Dabar mūsų niekas neišskirs.	Nobody can keep us apart now.
Dailininko akys yra jo svarbiausi įrankiai.	A painter's eyes are his most important tools.
Dangoraižis yra miesto centre.	The skyscraper is in the center of the city.
Dar neperskaičiau paskutinio romano puslapio.	I haven't read the final page of the novel yet.
Daug jaunų žmonių Ispanijoje yra bedarbiai.	Many young people in Spain are unemployed.
Didžiosios pandos gyvena tik Kinijoje.	Giant pandas live only in China.
Dienos tampa vis ilgesnės ir ilgesnės.	The days are getting longer and longer.
Dikui buvo dešimt metų kai jis numirė.	Dick was ten years old when he died.
Dolorės turi keturias seseris.	Dolores has four sisters.
Dukra mezga.	The daughter knits.
Dukros mezga.	The daughters knit.
Eikite šia gatve tiesiai ir prie trečio šviesoforo pasukite į dešinę.	Go straight down this street and turn right at the third light.
Eikš su manim laukan ir pažiūrėk į žvaigždynus.	Come outside with me and look at the constellations.
Erodas Didysis kentėjo nuo paranojos.	Herod the Great suffered from paranoia.
Esu labai laiminga Gruzijoje.	I am very happy in Georgia.
Esu labai laimingas Gruzijoje.	I am very happy in Georgia.
Gaila, jog nesielgiau su mergaite kiek gražiau.	I wish I had treated the girl more kindly.
Geras gyvenimas yra tas, kuris įkvėptas meile ir valdomas žiniomis.	The good life is one inspired by love and guided by knowledge.
Grindys yra padengtos storu kilimu.	The floor is covered with a thick carpet.
Gydytojas pasakė, kad ši liga nepagydoma.	The doctor said that this disease is unhealable.
Iki pasimatimo kitą ketvirtadienį, kitaip tariant, rugsėjo dešimtą dieną.	I will see you on next Tuesday, that is to say, the 10th of September.
Išverskite šią knygą į anglų kalbą.	Translate this book into English.
Išverskite šį tekstą.	Translate this text.
Jeigu nelyja, tada eime.	Let's go if it's not raining.
Jei tu nenori valgyti bulvių, tada sedėk alkanas.	If you don't want to eat potatoes, then sit hungry.
Ji gyvena milžiniškame name.	She lives in a huge house.
Ji juos pamatė prie tavo pardotuvės.	She saw them next to your store.
Ji mėgsta šiuos katinus.	She likes these cats.
Ji miega su dvejomis pagalvėmis.	She sleeps with two pillows.
Ji nori violetinio palto.	She wants a purple coat.
Ji palauks kol tu nulipsi nuo medžio.	She'll wait until you climb off the tree.
Ji pamatė mano vardą užrašytą ant sienos.	She saw my name written on the wall.
Ji plaunasi galvą.	She washes her head.
Ji praleidžia kiekvieną šeštadienio popietę žaisdama tenisą.	She spends every Saturday afternoon playing tennis.
Ji priprato keltis anksti.	She’s accustomed to rising early.
Jis greitai priprato prie šaltų orų.	He soon accustomed himself to cold weather.
Jis iškirpo skelbimą iš laikraščio.	He cut the advertisement out of the newspaper.
Jis labai didžiuojasi savo žaislu.	He is very proud of his toy.
Jis neleidžia priešininkui prie jo prisiartinti.	He does not let the opponent come near him.
Jis niekada neragavo alkoholio.	He has never tasted alcohol.
Jis plaunasi galvą.	He washes his head.
Jis prajuokino vaikus.	He made the children laugh.
Jis retai būna geroje nuotaikoje.	He is rarely in a good mood.
Ji stengėsi neverkti.	She tried not to shed tears.
Jis vedė Aną praeitą mėnėsį.	He got married to Ann last month.
Jis žuvo kario mirtimi kovoje už demokratiją.	He died a soldier's death in the battle in the cause of democracy.
Ji tapo ramesnė.	She became more tranquil.
Jo žingsniai pagreitėjo.	His pace quickened.
Jūreiviai paliko degantį laivą.	The sailors abandoned the burning ship.
Jūs sunaikinote seną namą.	You destroyed the old house.
Kada bus kita ekskursija su gidu?	When is the next guided tour?
Kada susituokėte?	When did you get married?
Kai ateina pavasaris, dienos tampa ilgesnės diena po dienos.	When spring comes, the days get longer day by day.
Kai kurie žmonės valgo sushi rankomis.	Some people eat sushi with their hands.
Kaikurios gyvatės yra nuodingos.	Some snakes are poisonous.
Kaip gali būti, kad turi nešiojamąjį kompiuterį, bet neturi mobilaus?	How can you have a laptop, but no mobile?
Kaip laikotės, ponia Džons?	How do you do, Mrs. Jones?
Ką jūs veikiate per Heloviną?	What are you doing for Halloween?
Kalba tai dialektas su kariuomene ir jūrų pajėgomis.	A language is a dialect with an army and navy.
Ką tu veiki per Heloviną?	What are you doing for Halloween?
Kažkodėl naktį jaučiuos gyvesnis.	For some reason I feel more alive at night.
Kiek kartų per mėnėsį rašai namo?	How many times a month do you write home?
Kiek kartų per mėnėsį tu rašai laiškus?	How many times a month do you write letters?
Kiekvienas turi būti savo likimo kalviu.	Everyone ought to be a master of his own destiny.
Kloju savo lovą.	I am making my own bed.
Kodėl jis nenusipirko sau puodelio?	Why didn't he buy a cup for himself?
Kodėl jūs nupirkote tik vieną bananą?	Why did you buy only one banana?
Kodėl taip lengvai pasiduodate?	Why are you giving up so easily?
Koks tavo mėgstamiausias keiksmažodis?	What's your favorite curse word?
Kuris yra pigesnis?	Which one is cheaper?
Kur trūkstamas doleris?	Where is the missing dollar?
Lankstumas - vienas iš daugelio darbo iš namų privalumų.	Flexibility is one of the many advantages of working from home.
Liaukis juokavęs.	Stop joking around.
Lietuva įeina į Europos Sąjungą.	Lithuania enters the European Union.
Lietuva yra Europos Sąjungos narė.	Lithuania is a member of the European Union.
Linkolnas suteikė vergams laisvę.	Lincoln granted liberty to slaves.
Linksmų šventų Kalėdų!	Merry Christmas!
Maikas nežaidžia krepšinio pirmadieniais.	Mike doesn't play basketball on Mondays.
Mano brolis dviem metais vyresnis už mane, bet jis trimis centimetrais už mane žemesnis.	My brother is two years older than I, but he is three centimeters shorter.
Mano brolis gyvena netoli nuo Vilniaus.	My brother lives near Vilnius.
Mano nuostabai, ji negalėjo atsakyti į klausymą.	To my surprise, she could not answer the question.
Mano vardas Ricardo.	My name's Ricardo.
Mano vardas yra Sally.	My name is Sally.
Man patinka korėjietiškas maistas.	I like Korean cuisine.
Man patinka trumpi eilėraščiai.	I like short poems.
Man rekia dar vienos pagalvės.	I need an extra pillow.
Man rekia ją rasti.	I have to find her.
Man sunku atsakyti į tavo klausymą.	Your question is hard for me to answer.
Maždaug kiek kartų per mėnėsį tu plauni savo automobilį?	About how many times a month do you wash your car?
Mes išmokysime jus skaityti.	We'll teach you how to read.
Mes juo nepasitikime.	We have no trust in him.
Mes neesame vieninteliai kurie tiki kad jis nėra kaltas.	We are not the only ones to believe that he is not guilty.
Mes neesame vieninteliai kurie tiki kad jis yra nekaltas.	We are not the only ones who believe that he is innocent.
Mes niekada nesame nei tokie laimingi nei nelaimingi kaip mes įsivaizduojame.	We are never so happy nor so unhappy as we imagine.
Mes pabandėme užlipti ant medžio.	We made an attempt to climb up a tree.
Mes paklausėme Tomo apie sąrašą.	We asked Tom about the list.
Mes suvalgėme labai daug obuolių.	We ate a whole load of apples.
Mes žaidėme golfą nepaisydami lietaus.	We played golf in spite of the rain.
Mokiniai neprisiminė ką jie perskaitė toje knygoje.	The students didn't remember what they read in that book.
Nauji keliai buvo tiesiami vienas po kito.	New roads were constructed one after another.
Naujosios Zelandijos klimatas panašus į Japonijos.	The climate of New Zealand is similar to that of Japan.
Nenusivilk.	Don't be disappointed.
Nėra dviejų vienodų snaigių.	No two snowflakes are exactly alike.
Nėra laiko išsamiai paaiškinti.	There isn't time to explain in detail.
Nesudaužyk veidrodžio.	Don't break a mirror.
Neturiu nė menkiausio ketinimo trauktis iš pareigų.	I don't have the slightest intention of retiring.
Nežaiskite su ugnimi.	Don't play with fire.
Nori mano sumuštinio likutį?	Do you want the rest of my sandwich?
Noriu gero žodyno.	I want a good dictionary.
Pacijentas buvo pavojuje.	The patient was in danger.
Pasikliaukite manimi.	Count on me.
Pažadu kad padarysiu tą iki mėnėsio pabaigos.	I promise I'll do that before the end of the month.
Po jos automobiliu slepiasi du katinai.	There are two cats hiding under her car.
Praeitą mėnėsį buvau Londone.	I was in London last month.
Prašome aplankykite mus mūsų naujame ofise.	Please visit us in our new office.
Sieno yra labai plonos.	The walls are very thin.
Šios bėdos bus išspręstos netolimoje ateityje.	These problems will be solved in the near future.
Šiose sąlygose, mes negalime dirbti kartu.	Under these conditions we can not work together.
Strutis turi sparnus, bet jis negali skristi.	The ostrich has wings, but it cannot fly.
Suvalgėme pietus vidurdienį.	We had lunch at noon.
Tai galėtų kuo puikiausiai tikti apšilimui.	It could be just right for a warm up.
Tais laikais nebuvo radijų.	In those days, there were no radios.
Tai yra pirmas kartas, kai aš rėkiu dalyvaujant vadovui. Aš mačiau didelį tarakoną ant stalo!	It's the first time I scream in presence of the manager. I saw a big cockroach on the table!
Tai yra ponia Li, Siuzanos motina, Londone.	It is Mrs. Lee, Susan's mother, in London.
Tie katinai visada miega ant kilimo.	Those cats always sleep on the carpet.
Tiesiog atsakyk į klausymą.	Just answer the question.
Tiktai tu asakei į klausymą.	Only you answered the question.
Tkiuosi grįžti kitą pirmadienį.	I expect to be back next Monday.
Tomas nutapė Mėrės šunį.	Tom painted a picture of Mary's dog.
Tomas pastebėjo, kad jo rankos buvo nešvarios.	Tom noticed that his hands weren't clean.
Tomas prarado interesą mokytis prancūzų kalbos.	Tom has lost interest in studying French.
Tomas protestavo prieš tai, kad su juo buvo elgiamasi kaip su vaiku.	Tom objected to being treated like a child.
Tomas taip ir nesugebėjo pamiršti karo baisybių.	Tom could never forget the horror of the war.
Turiu tik mažą daržą.	I have only a small garden.
Užsakiau dailininkui nutapyti savo portretą.	I had the artist paint my portrait.
Valstietis nuima derlių.	The peasant reaps the harvest.
Vietoj rašalo, butelije buvo kažkoks keistas skystis.	Instead of ink there was some kind of strange fluid in the bottle.
Visi, kurie griebiasi kalavijo, nuo kalavijo ir žus.	All those who take up the sword shall perish by the sword.
Visi žmonės gimsta laisvi ir lygūs savo orumu ir teisėmis. Jiems suteiktas protas ir sąžinė ir jie turi elgtis vienas kito atžvilgiu kaip broliai.	All human beings are born free and equal in dignity and rights. They are endowed with reason and conscience and should act towards one another in a spirit of brotherhood.
Vynas yra daromas iš vynuogių.	Wine is made from grapes.
Amžina tyla šių begalinių erdvių mane baugina.	The eternal silence of these infinite spaces terrifies me.
Apelsinai šiame maiše yra supuvę.	The oranges in this bag are rotten.
Apsiauk batus. Eikime pietauti.	Put on your shoes. Let's go out for dinner.
Argi nesakei vakar, kad šiandien napavėluosi?	Didn't you tell me yesterday that you wouldn't be late today?
Ar jau balsavai?	Have you already voted?
Ar nusiprausei po dušu?	Have you showered?
Aš dabar tik apšylu.	I am just warming up now.
Aš išspausdinau šimtą puslapių.	I have printed 100 pages.
Aš jau užmokėjau už pirmą pamoką.	I've already paid for the first lesson.
Aš manau, kad daugumai žmonių mokytis trigonometrines funkcijas yra beprasmiška.	I think that for many people learning the trigonometric functions is meaningless.
Aš mėgstu arbūzo skonį.	I love the taste of watermelon.
Aš mėgstu bananus.	I love bananas.
Aš nepratusi keltis anksti.	I'm not used to getting up early.
Aš nesu labai geras daininkas.	I'm not much of a singer.
Aš ne vienintelė, mėgstanti Tomą.	I'm not the only one who likes Tom.
Aš noriu kad tu atsisėstum.	I want you to sit down.
Aš nusprendžiau kad mes neeisime.	I've decided that we won't go.
Aš pagaliau ją įkalbinau paskolinti man tą knygą.	I finally talked her into lending me the book.
Aš pagalvojau kad ji neturėjo priežasties padayti tą ką ji padarė.	She had, I thought, no reason to do what she did.
Aš plaukiojau upėje.	I was swimming in the river.
Aš pritariau šiam pasiūlymui.	I agreed to the proposal.
Aš šnekėjausi su draugais.	I talked to friends.
Astikėliau apie šeštą.	I got up at about six.
Aš turiu daug draugų kurie kalba esperantiškai.	I have many Esperanto-speaking friends.
Aš turių surasti tobulą vietą.	I have to find the perfect place.
Atsisveikinimai visada būna liūdni.	Goodbyes are always sad.
Atvykau į Tokiją perpiet.	I arrived in Tokyo at noon.
